mantaps,mantap
manyus,enak
maknyuz,enak
mengunakan,menggunakan
merespond,merespons
mkasi,makasih
maksih,makasih
naek,naik
nungu,menunggu
nugu,menunggu
tungu,menunggu
mnungu,menunggu
meungu,menunggu
nungunya,menunggu
nunguin,menunggu
nungun,menunggu
nyamam,nyaman
nyamn,nyaman
ocey,oke
okey,oke
pegi,pergi
psti,pasti
puanas,panas
recom,rekomendasi
recomandasi,rekomendasi
recomded,rekomendasi
recomendasi,rekomendasi
recomende,rekomendasi
recomendid,rekomendasi
recomwnded,rekomendasi
rekomendasin,rekomendasi
remomendit,rekomendasi
sanagat,sangat
sanat,sangat
sangan,sangat
sangatsangat,sangat
sangt,sangat
sngant,sangat
sehinga,sehingga
telor,telur
temen,teman
tengkyu,makasih
thankyu,makasih
thsnks,makasih
terimakasi,makasih
terimasih,makasih
terimkasih,makasih
trimah,makasih
teima,makasih
yerimakaskh,makasih
trakhir,terakhir
trlu,terlalu
trmh,ramah
brsm,bersama
pedis,pedas
afordable,terjangkau
brp,berapa
brapa,berapa
brpa,berapa
ckp,cukup
hrgnya,harga
hrgx,harga
jl,jalan
jln,jalan
lsg,langsung
mgkin,mungkin
mrh,marah
msih,masih
nti,nanti
sktr,sekitar
wkt,waktu
tgl,tanggal
atmosphere,suasana
birthday,ulang tahun
budget,anggaran
cancel,batalkan
cash,tunai
chef,koki
diner,makan malam
desert,makanan penutup
eat,makan
gatherings,pertemuan
honest,jujur
ice,es
juice,jus
large,besar
last,terakhir
live,langsung
lunch,makan siang
manager,manajer
marketing,pemasaran
music,musik
musicnya,musik
only,hanya
place,tempat
quality,kualitas
restaurant,restoran
size,ukuran
space,ruang
special,spesial
star,bintang
strong,kuat
surprise,kejutan
table,meja
taste,rasa
try,coba
aistetic,estetik
stetik,estetik
akn,akan
ank,anak
aplgi,apalagi
aqyu,aku
atitude,sikap
bagis,bagus
bague,bagus
banyk,banyak
bauh,bau
bayarb,bayar
boking,pesan
breng,bersama
capek,lelah
datengnya,datang
dengn,dengan
depanx,depan
egawainya,pegawainya
excelentnya,luar biasa
fod,makanan
fre,gratis
ful,penuh
gampang,mudah
ganteng,tampan
hargany,harga
hinga,hingga
indor,di dalam ruangan
outdor,luar ruangan
outdornya,luar ruangan
jyga,juga
kirain,kira
klau,kalau
ksh,kasih
ksi,kasih
ksih,kasih
kurg,kurang
kurleb,kurang lebih
laenya,lainnya
manga,mangga
manganya,mangganya
mango,mangga
mangil,panggil
manfatkan,manfaatkan
mbk,mbak
menegerx,manajer
mengkordinir,mengkoordinir
mengugah,menggugah
meningal,meninggal
meningalkan,meninggalkan
menux,menu
menyenagkan,menyenangkan
menyenangakn,menyenangkan
merespon,merespons
metingnya,pertemuan
metup,pertemuan
mingu,minggu
mkanana,makanan
mkananya,makanan
mknan,makanan
mknanx,makanan
mknanya,makanan
mnjadikan,menjadikan
naikin,naik
nyamnyam,enak
overated,berlebihan
pangil,panggil
pangang,panggang
parkit,parkir
pasty,pasti
pedesnya,pedasnya
perkotan,perkotaan
permintan,permintaan
pingir,pinggir
pisahkn,pisahkan
prfect,sempurna
pricy,mahal
prnh,pernah
rebersi,reservasi
resrvsi,reservasi
recomanded,rekomendasi
seafod,makanan laut
seafodnya,makanan laut
serti,seperti
singah,singgah
smbel,sambal
smga,semoga
smothie,minuman
smothis,minuman
smotise,minuman
smotisenya,minuman
sodara,saudara
soun,suara
spt,seperti
sunguh,sungguh
tdak,tidak
terbaiq,terbaik
tergangu,terganggu
tetanga,tetangga
tingal,tinggal
tingi,tinggi
tmabahan,tambahan
tmpanya,tempatnya
todler,balita
trima,makasih
trimaksih,makasih
trims,makasih
trm,makasih
wakend,akhir pekan
wekend,akhir pekan
waktuk,waktu
waters,pelayan
weaters,pelayan
weiters,pelayan
whoters,pelayan
witers,pelayan
witersnya,pelayan
wters,pelayan
weding,pernikahan
wuarbiasa,luar biasa
yumi,enak
ayem,nyaman
baby,bayi
costumer,pelanggan
custmernya,pelanggan
custumer,pelanggan
highly,sangat
name,nama
whatsap,whatsapp
angota,anggota
antrianya,antrian
bersihakan,bersihkan
besaing,bersaing
catatanya,catatan
dekta,dekat
diangap,dianggap
dibawakn,dibawakan
dicantumksn,dicantumkan
dinfokan,diinformasikan
dipangil,dipanggil
dipingir,pinggir
direkomenadsikan,direkomendasikan
disugukan,disuguhkan
dluan,duluan
dorekomendasikan,direkomendasikan
dsediakn,disediakan
hanaya,hanya
hidanganya,hidangan
hindanganya,hidangan
karyawanya,karyawan
kebersihanya,kebersihan
kekeluargan,kekeluargaan
keliahatan,kelihatan
kelihatanya,kelihatan
kekuranganya,kekurangan
kemerdekan,kemerdekaan
keramahanya,keramahan
kemntrian,kementerian
keryawan,karyawan
kesanya,kesan
kesempurnan,kesempurnaan
kesimpulanya,kesimpulan
kordinasi,koordinasi
kotoranya,kotoran
lingkunganya,lingkungan
mangkok,mangkuk
manajemenya,manajemen
menjelaskanya,menjelaskan
menuc,menu
menyampaikanya,menyampaikan
minumanya,minuman
nampanya,tampak
okok,rokok
paketanya,paket
pangilan,panggilan
pekerjan,pekerjaan
pelaksanan,pelaksanaan
pelanganan,pelanggan
pelanganya,pelanggan
pemandaganya,pemandangan
pemandanganya,pemandangan
pembelanjan,pembelanjaan
peneranganya,penerangan
penghawan,penghawaan
penyajianya,penyajian
perempuanya,perempuan
pertanyan,pertanyaan
pilihanya,pilihan
ramh,ramah
rombongn,rombongan
ruanganya,ruangan
sajianya,sajian
seranga,serangga
smuanya,semua
tagan,tangan
tamanya,taman
tanganys,tangan
toge,tauge
tujuanya,tujuan
ukuranya,ukuran
temapat,tempat
temlatny,tempat
tempatmya,tempat
tempatntya,tempat
tempaynya,tempat
temptanya,tempat
temptnya,tempat
tempt,tempat
oelsyananx,pelayanan
pelanyanan,pelayanan
pelanyangnya,pelayanan
pelatanan,pelayanan
pelayana,pelayanan
pelayanananx,pelayanan
pelayanankak,pelayanan
pelayanany,pelayanan
pelayananyanya,pelayanan
pelayany,pelayanan
pelayanya,pelayanan
peleyanan,pelayanan
pelnganya,pelayanan
pelyananynya,pelayanan
pelyanax,pelayanan
playanany,pelayanan
plelayanan,pelayanan
plyananx,pelayanan
plyananya,pelayanan
plyn,pelayanan
layanya,layanan
layanai,layanan
makana,makanan
makanana,makanan
makanany,makanan
makanaya,makanan
makanyq,makanan
makax,makanan
makn,makanan
maknx,makanan
manakanya,makanan
suasan,suasana
suasanan,suasana
suasanx,suasana
suasanyanya,suasana
susanax,suasana
susanya,suasana
susasanya,suasana
mushala,musala
mushalah,musala
mushola,musala
musholah,musala
musola,musala
musalahnya,musala
musalahx,musala
musholahnya,musala
musholanya,musala
musolahx,musala
anter,antar
anterin,antar
bandingin,banding
berishin,bersihkan
dijabanin,dijawab
dijagain,dijaga
diliatin,dilihat
elo,kamu
kasik,kasih
kasi,kasih
kemaren,kemarin
koq,kok
maf,maaf
mesan,memesan
ngambil,ambil
ngasih,kasih
ngebersihin,membersihkan
ngebersihinya,membersihkan
ngefotonya,foto
ngeliat,melihat
ngeliatin,melihat
ngerokok,merokok
ngumpul,berkumpul
nunguinya,menunggu
nyebrang,seberang
nyengat,menyengat
nyita,menyita
ramean,ramai
ramenya,ramai
samperin,hampiri
tau,tahu
tauw,tahu
tanyain,tanya
tempelin,tempel
tolongin,tolong
acnya,ac
adinx,adik
alpukatx,alpukat
anginx,angin
asamx,asam
asinx,asin
ayamx,ayam
bantuanx,bantuan
bebekx,bebek
chocolatex,cokelat
ikanx,ikan
khususx,khusus
layananx,layanan
masakanx,masakan
nampanx,nampan
orangx,orang
parkirx,parkir
pegawaix,pegawai
perawatx,perawat
reservasix,reservasi
sambelx,sambel
adaji,ada
besarki,besar
biasaji,biasa
datangki,datang
disuruhki,disuruh
janganki,jangan
kerenki,keren
nyamangi,nyaman
puaski,puas
standarji,standar
sukseski,sukses
suamik,suami
bgusnya,bagus
cm,cuma
donk,dong
dpn,depan
jm,jam
kna,kena
mnrtku,menurut
tl,terlalu
tmenya,teman
colokanya,colokan
gasebonya,gazebo
itusih,itu
kegazebo,gazebo
lengkapndgn,lengkap
sejukpelayananya,sejuk
solusinyang,solusi
tempatmenyenangkan,menyenangkan
yangblumayan,lumayan
ygcocok,cocok
adminya,admin
alpokatnya,alpukat
alpukatnya,alpukat
ambiencenya,ambiens
anginya,angin
asemnya,asam
baladonya,balado
citarasanya,citarasa
cuminya,cumi
gazebonya,gazebo
ijonya,ijo
kavlingnya,kavling
layananya,layanan
masakanya,masakan
originalnya,original
palumaramnya,palumara
